Resource,type,name,base_name,extension,size,date,sha1,md5,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,is_legal,is_manifest,is_readme,is_top_level,files_count,dirs_count,size_count,scan_errors,license__key,license__score,license__name,license__short_name,license__category,license__is_exception,license__owner,license__homepage_url,license__text_url,license__reference_url,license__spdx_license_key,license__spdx_url,start_line,end_line,matched_rule__identifier,matched_rule__license_expression,matched_rule__licenses,matched_rule__is_license_text,matched_rule__is_license_notice,matched_rule__is_license_reference,matched_rule__is_license_tag,matched_rule__matcher,matched_rule__rule_length,matched_rule__matched_length,matched_rule__match_coverage,matched_rule__rule_relevance
/babel-core-6.26.3.tgz-extract/package/lib/tools/build-external-helpers.js,file,build-external-helpers.js,build-external-helpers,.js,3606,2018-04-27,5b6f8b11383318464824cf6260a271237bb19ce7,d917f39dbe92bb6793d7050bc321f143,text/plain,"ASCII text, with very long lines",JavaScript,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
/babel-core-6.26.3.tgz-extract/package/lib/transformation/,directory,transformation,transformation,,0,,,,,,,False,False,False,False,False,False,False,False,False,False,15,3,73575,,,,,,,,,,,,,,,,,,,,,,,,,,,
/babel-core-6.26.3.tgz-extract/package/lib/transformation/pipeline.js,file,pipeline.js,pipeline,.js,2189,2018-04-27,b48effb36d9d27bd0a5c0c70f026049532481908,84b362ce458c89854aa6bf8f324e5116,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
/babel-core-6.26.3.tgz-extract/package/lib/transformation/plugin-pass.js,file,plugin-pass.js,plugin-pass,.js,1959,2018-04-27,d10ccfdc38cbc469f836867460808f18084a38c2,8cd66808a06723625b08e4e572700f0d,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
/babel-core-6.26.3.tgz-extract/package/lib/transformation/plugin.js,file,plugin.js,plugin,.js,4902,2018-04-27,f415a1ec68b4899e32e0e9856979debc17a488bb,c7b961be9e6d793e2ab94e6e098cf290,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
/babel-core-6.26.3.tgz-extract/package/lib/transformation/file/,directory,file,file,,0,,,,,,,False,False,False,False,False,False,False,False,False,False,10,1,59740,,,,,,,,,,,,,,,,,,,,,,,,,,,
/babel-core-6.26.3.tgz-extract/package/lib/transformation/file/index.js,file,index.js,index,.js,19103,2018-04-27,bb1103b416d7459fabc349948050e5f3e7476ef3,725e8758a4afcab24de73825a66bab52,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
/babel-core-6.26.3.tgz-extract/package/lib/transformation/file/logger.js,file,logger.js,logger,.js,1858,2018-04-27,078e370e13103c6f3fa77e78b0cae1ae295e9c13,359c70032320430420295a3315ade772,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
/babel-core-6.26.3.tgz-extract/package/lib/transformation/file/merge-map.js,file,merge-map.js,merge-map,.js,9110,2018-04-27,1d7729b9dc47b7eb62eaf3f51a274cf0dcc421f7,783fc652f9fb4346fcfa4db61de0fd37,text/x-pascal,"Pascal source, ASCII text",JavaScript,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
/babel-core-6.26.3.tgz-extract/package/lib/transformation/file/metadata.js,file,metadata.js,metadata,.js,4555,2018-04-27,1dac12906b79c882b4862a12e2ee6c1dce009cc4,ff09a9277d3b6cc24e2bbbc87c09d0bd,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
