name,url,rank
mocha,https://www.npmjs.org/package/mocha,0.054127128964231865
jquery,https://www.npmjs.org/package/jquery,0.05339366291697397
compression,https://www.npmjs.org/package/compression,0.05133946693200694
gulp-util,https://www.npmjs.org/package/gulp-util,0.051061664078646055
babel-cli,https://www.npmjs.org/package/babel-cli,0.050481132633200955
rxjs,https://www.npmjs.org/package/rxjs,0.04879040897147728
typescript,https://www.npmjs.org/package/typescript,0.04551365426123346
webpack-dev-middleware,https://www.npmjs.org/package/webpack-dev-middleware,0.044600392216167725
react-router-dom,https://www.npmjs.org/package/react-router-dom,0.04390313973961209
chai,https://www.npmjs.org/package/chai,0.043731510974831724
request-promise,https://www.npmjs.org/package/request-promise,0.042677622810780004
minimatch,https://www.npmjs.org/package/minimatch,0.04237747596758883
mongoose,https://www.npmjs.org/package/mongoose,0.04203255681857413
webpack-hot-middleware,https://www.npmjs.org/package/webpack-hot-middleware,0.041814201969523165
core-js,https://www.npmjs.org/package/core-js,0.04180086892374599
babel-register,https://www.npmjs.org/package/babel-register,0.04109906212642328
redux-thunk,https://www.npmjs.org/package/redux-thunk,0.04092158282285164
path,https://www.npmjs.org/package/path,0.04052865421011054
del,https://www.npmjs.org/package/del,0.03992217432233383
express-session,https://www.npmjs.org/package/express-session,0.039780560759958915
co,https://www.npmjs.org/package/co,0.039629464656126975
babel-plugin-transform-decorators-legacy,https://www.npmjs.org/package/babel-plugin-transform-decorators-legacy,0.03954785504956592
coffee-script,https://www.npmjs.org/package/coffee-script,0.038984108959973666
uglifyjs-webpack-plugin,https://www.npmjs.org/package/uglifyjs-webpack-plugin,0.038690264340758417
webpack-merge,https://www.npmjs.org/package/webpack-merge,0.038669663763144714
opn,https://www.npmjs.org/package/opn,0.03822551539188146
react-hot-loader,https://www.npmjs.org/package/react-hot-loader,0.03675080097394376
cors,https://www.npmjs.org/package/cors,0.03662315168416381
babel-plugin-transform-object-rest-spread,https://www.npmjs.org/package/babel-plugin-transform-object-rest-spread,0.03634908587313612
superagent,https://www.npmjs.org/package/superagent,0.03576723229961009
jade,https://www.npmjs.org/package/jade,0.03534740820964861
marked,https://www.npmjs.org/package/marked,0.03532376927514684
update-notifier,https://www.npmjs.org/package/update-notifier,0.03517839482632199
uglify-js,https://www.npmjs.org/package/uglify-js,0.03509189721565994
aws-sdk,https://www.npmjs.org/package/aws-sdk,0.03507745853673527
serve-favicon,https://www.npmjs.org/package/serve-favicon,0.0350180754281744
vue,https://www.npmjs.org/package/vue,0.03471434034595229
mime,https://www.npmjs.org/package/mime,0.03444127228879729
ws,https://www.npmjs.org/package/ws,0.03426357631303271
mongodb,https://www.npmjs.org/package/mongodb,0.0342176330401294
xml2js,https://www.npmjs.org/package/xml2js,0.0338163882518574
node-uuid,https://www.npmjs.org/package/node-uuid,0.03380197725435327
copy-webpack-plugin,https://www.npmjs.org/package/copy-webpack-plugin,0.03368048561132743
redis,https://www.npmjs.org/package/redis,0.03365604666022915
immutable,https://www.npmjs.org/package/immutable,0.03355247776155026
http-proxy-middleware,https://www.npmjs.org/package/http-proxy-middleware,0.03354601383187189
postcss,https://www.npmjs.org/package/postcss,0.03302071222823486
connect-history-api-fallback,https://www.npmjs.org/package/connect-history-api-fallback,0.032891517504812964
prompt,https://www.npmjs.org/package/prompt,0.03204133867522056
babel-plugin-transform-class-properties,https://www.npmjs.org/package/babel-plugin-transform-class-properties,0.031829760811925734
optimist,https://www.npmjs.org/package/optimist,0.031575710791763585
history,https://www.npmjs.org/package/history,0.03085677999760289
@angular/core,https://www.npmjs.org/package/@angular/core,0.03083406989564029
zone.js,https://www.npmjs.org/package/zone.js,0.03060663755512329
bootstrap,https://www.npmjs.org/package/bootstrap,0.030554324820141518
gulp-rename,https://www.npmjs.org/package/gulp-rename,0.03013586453992494
html-loader,https://www.npmjs.org/package/html-loader,0.02969513526657172
qs,https://www.npmjs.org/package/qs,0.029618809872783255
passport,https://www.npmjs.org/package/passport,0.029462524906901433
strip-ansi,https://www.npmjs.org/package/strip-ansi,0.02944088524841147
@angular/common,https://www.npmjs.org/package/@angular/common,0.029350242547088512
node-fetch,https://www.npmjs.org/package/node-fetch,0.02907519574607106
underscore.string,https://www.npmjs.org/package/underscore.string,0.028612144556019736
jsonwebtoken,https://www.npmjs.org/package/jsonwebtoken,0.02855441599611104
es6-promise,https://www.npmjs.org/package/es6-promise,0.028521275091783264
@babel/core,https://www.npmjs.org/package/@babel/core,0.02842812774647565
@angular/compiler,https://www.npmjs.org/package/@angular/compiler,0.02811264053983907
@angular/platform-browser,https://www.npmjs.org/package/@angular/platform-browser,0.02808391832994502
socket.io-client,https://www.npmjs.org/package/socket.io-client,0.02807492233349369
source-map-support,https://www.npmjs.org/package/source-map-support,0.027153275068064052
loader-utils,https://www.npmjs.org/package/loader-utils,0.026884608903822514
koa,https://www.npmjs.org/package/koa,0.026718137875522407
gulp-uglify,https://www.npmjs.org/package/gulp-uglify,0.026477950330847454
open,https://www.npmjs.org/package/open,0.026450533232166548
vue-loader,https://www.npmjs.org/package/vue-loader,0.02644495822491816
@angular/http,https://www.npmjs.org/package/@angular/http,0.026438178116553673
@angular/platform-browser-dynamic,https://www.npmjs.org/package/@angular/platform-browser-dynamic,0.026425486815867438
extend,https://www.npmjs.org/package/extend,0.02636306924032706
browserify,https://www.npmjs.org/package/browserify,0.026229099737111742
ts-loader,https://www.npmjs.org/package/ts-loader,0.026216881267684976
joi,https://www.npmjs.org/package/joi,0.02599035465473895
@angular/forms,https://www.npmjs.org/package/@angular/forms,0.025786363475375152
raw-loader,https://www.npmjs.org/package/raw-loader,0.025690078919963784
stylus,https://www.npmjs.org/package/stylus,0.025643604158812974
progress,https://www.npmjs.org/package/progress,0.025312786815776492
mysql,https://www.npmjs.org/package/mysql,0.02519518583777026
react-router-redux,https://www.npmjs.org/package/react-router-redux,0.02516009408497448
fs,https://www.npmjs.org/package/fs,0.025131639305114348
validator,https://www.npmjs.org/package/validator,0.0250242262226835
babel-preset-stage-2,https://www.npmjs.org/package/babel-preset-stage-2,0.024814165281567175
cross-env,https://www.npmjs.org/package/cross-env,0.024739382142091877
@angular/router,https://www.npmjs.org/package/@angular/router,0.024525208872777118
nodemailer,https://www.npmjs.org/package/nodemailer,0.024349636458884126
eslint-config-airbnb,https://www.npmjs.org/package/eslint-config-airbnb,0.024135251736603754
meow,https://www.npmjs.org/package/meow,0.024055516504965874
isomorphic-fetch,https://www.npmjs.org/package/isomorphic-fetch,0.023862599027143504
