Resource,type,name,base_name,extension,size,date,sha1,md5,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,is_legal,is_manifest,is_readme,is_top_level,files_count,dirs_count,size_count,scan_errors,license__key,license__score,license__name,license__short_name,license__category,license__is_exception,license__owner,license__homepage_url,license__text_url,license__reference_url,license__spdx_license_key,license__spdx_url,start_line,end_line,matched_rule__identifier,matched_rule__license_expression,matched_rule__licenses,matched_rule__is_license_text,matched_rule__is_license_notice,matched_rule__is_license_reference,matched_rule__is_license_tag,matched_rule__matcher,matched_rule__rule_length,matched_rule__matched_length,matched_rule__match_coverage,matched_rule__rule_relevance,author
/junit-4.12-sources.jar-extract/junit/framework/JUnit4TestAdapterCache.java,file,JUnit4TestAdapterCache.java,JUnit4TestAdapterCache,.java,2524,2014-12-04,7343f6f9c7d043f268303d1e17509e749c89c374,f9fd9a0170596c82d4826dfdd6132169,text/plain,ASCII text,Java,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/junit-4.12-sources.jar-extract/junit/framework/JUnit4TestCaseFacade.java,file,JUnit4TestCaseFacade.java,JUnit4TestCaseFacade,.java,699,2014-12-04,f5d7c1c58a4e93e6e4f5defc89473f565c9a9cc2,652c192287bd23a725bb75b7a05d77bc,text/plain,ASCII text,Java,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/junit-4.12-sources.jar-extract/junit/framework/package-info.java,file,package-info.java,package-info,.java,69,2014-12-04,438a85e032fc2cdd17ee8ef0e9a77c89ad52527c,dee5c290c77be1e6d0d9f2dd92b305ed,text/plain,ASCII text,Java,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/junit-4.12-sources.jar-extract/junit/framework/Protectable.java,file,Protectable.java,Protectable,.java,269,2014-12-04,74210d05bba212a761774a5e37d25891200b2614,ca742f77f19f6823a968e2f27062e3f1,text/plain,ASCII text,Java,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/junit-4.12-sources.jar-extract/junit/framework/Test.java,file,Test.java,Test,.java,399,2014-12-04,a6bdf6fff8168fe2481575f6ec35f37130da2c3e,fd7475dfbd6bdedd586cd7d529515be3,text/plain,ASCII text,Java,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/junit-4.12-sources.jar-extract/junit/framework/TestCase.java,file,TestCase.java,TestCase,.java,16743,2014-12-04,23df49180b007115e6f15b3fe54c15dcc923ff4d,875b22fbb0c9c9867f3f0d6c2596e31b,text/plain,ASCII text,Java,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/junit-4.12-sources.jar-extract/junit/framework/TestFailure.java,file,TestFailure.java,TestFailure,.java,1795,2014-12-04,621cae4c8ded2e7e57d13b965ccb066c843fc95d,f82494940dfc7dc704f1abadca000f34,text/plain,ASCII text,Java,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/junit-4.12-sources.jar-extract/junit/framework/TestListener.java,file,TestListener.java,TestListener,.java,450,2014-12-04,95e4d8ab3fcdb9241435e2d58c95472d8db0a052,176ea421cc0fea36a7babec678392043,text/plain,ASCII text,Java,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/junit-4.12-sources.jar-extract/junit/framework/TestResult.java,file,TestResult.java,TestResult,.java,4700,2014-12-04,d08c66e5d06885270415ad859cd4cb8e2a4bd4f3,171a75313e1a08c5a2479c315fe24b3f,text/plain,ASCII text,Java,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/junit-4.12-sources.jar-extract/junit/framework/TestSuite.java,file,TestSuite.java,TestSuite,.java,9325,2014-12-04,f373c63c22ef3c51fa385f3d7d266cf58e83eeb8,99cc8d41e8632313cd9238e00f5cfd5c,text/plain,ASCII text,Java,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
