Resource,type,name,base_name,extension,size,date,sha1,md5,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,is_legal,is_manifest,is_readme,is_top_level,files_count,dirs_count,size_count,scan_errors,license__key,license__score,license__name,license__short_name,license__category,license__is_exception,license__owner,license__homepage_url,license__text_url,license__reference_url,license__spdx_license_key,license__spdx_url,matched_rule__identifier,matched_rule__license_expression,matched_rule__licenses,matched_rule__is_license_text,matched_rule__is_license_notice,matched_rule__is_license_reference,matched_rule__is_license_tag,matched_rule__matcher,matched_rule__rule_length,matched_rule__matched_length,matched_rule__match_coverage,matched_rule__rule_relevance,author,start_line,end_line,copyright,copyright_holder
/rspec-expectations-3.8.2.gem-extract/data.tar.gz-extract/LICENSE.md,,,,,,,,,,,,,,,,,,,,,,,,,,mit,93.30,MIT License,MIT License,Permissive,False,MIT,http://opensource.org/licenses/mit-license.php,http://opensource.org/licenses/mit-license.php,https://enterprise.dejacode.com/urn/urn:dje:license:mit,MIT,https://spdx.org/licenses/MIT,mit_26.RULE,mit,[u'mit'],True,False,False,False,3-seq,167,167,100.00,100.00,,1,25,,
/rspec-expectations-3.8.2.gem-extract/data.tar.gz-extract/LICENSE.md,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,"Copyright (c) 2012 David Chelimsky, Myron Marston",
/rspec-expectations-3.8.2.gem-extract/data.tar.gz-extract/LICENSE.md,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,"Copyright (c) 2006 David Chelimsky, The RSpec Development Team",
/rspec-expectations-3.8.2.gem-extract/data.tar.gz-extract/LICENSE.md,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,Copyright (c) 2005 Steven Baker,
/rspec-expectations-3.8.2.gem-extract/data.tar.gz-extract/LICENSE.md,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,"David Chelimsky, Myron Marston"
/rspec-expectations-3.8.2.gem-extract/data.tar.gz-extract/LICENSE.md,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,"David Chelimsky, The RSpec Development Team"
/rspec-expectations-3.8.2.gem-extract/data.tar.gz-extract/LICENSE.md,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,Steven Baker
/rspec-expectations-3.8.2.gem-extract/data.tar.gz-extract/README.md,file,README.md,README,.md,8478,2018-10-09,059a94d91e63fea1ae1d0965729f2fe3a3dfc3ab,e0de5b558d431654ba4390640022b947,text/x-ruby,"Ruby module source, ASCII text",Objective-C,False,True,False,False,False,False,False,False,True,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/rspec-expectations-3.8.2.gem-extract/data.tar.gz-extract/lib/,directory,lib,lib,,0,,,,,,,False,False,False,False,False,False,False,False,False,False,48,4,249901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/rspec-expectations-3.8.2.gem-extract/data.tar.gz-extract/lib/rspec/,directory,rspec,rspec,,0,,,,,,,False,False,False,False,False,False,False,False,False,False,48,3,249901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
