Resource,type,name,base_name,extension,size,date,sha1,md5,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,is_legal,is_manifest,is_readme,is_top_level,files_count,dirs_count,size_count,scan_errors,license__key,license__score,license__name,license__short_name,license__category,license__is_exception,license__owner,license__homepage_url,license__text_url,license__reference_url,license__spdx_license_key,license__spdx_url,matched_rule__identifier,matched_rule__license_expression,matched_rule__licenses,matched_rule__is_license_text,matched_rule__is_license_notice,matched_rule__is_license_reference,matched_rule__is_license_tag,matched_rule__matcher,matched_rule__rule_length,matched_rule__matched_length,matched_rule__match_coverage,matched_rule__rule_relevance,copyright,start_line,end_line,copyright_holder,author
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/CHANGES.md,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,762,762,in NUnit Console,
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/CODE_OF_CONDUCT.md,file,CODE_OF_CONDUCT.md,CODE_OF_CONDUCT,.md,3211,2018-03-13,45cba7ad49890c58444f74d8222841e2e25112e5,6d07212c82df95e951d2dbc3375dadde,text/plain,"ASCII text, with very long lines",Objective-C,False,True,False,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/CONTRIBUTING.md,file,CONTRIBUTING.md,CONTRIBUTING,.md,4065,2018-03-13,22fb0e637566404175fb6b0f344e332ad69bfd7e,99ab5d65d057e955ac8e5dc7bd87e5fb,text/plain,"UTF-8 Unicode text, with very long lines",Objective-C,False,True,False,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/CONTRIBUTING.md,,,,,,,,,,,,,,,,,,,,,,,,,,mit,29.00,MIT License,MIT License,Permissive,False,MIT,http://opensource.org/licenses/mit-license.php,http://opensource.org/licenses/mit-license.php,https://enterprise.dejacode.com/urn/urn:dje:license:mit,MIT,https://spdx.org/licenses/MIT,mit_61.RULE,mit,[u'mit'],False,False,True,False,2-aho,5,5,100.00,29.00,,59,59,,
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/LICENSE.txt,file,LICENSE.txt,LICENSE,.txt,1070,2018-03-13,2d92c4bb62bf75981c10c7ed08f2cffab8315f8f,07cf7a489b15bd405d87a60a84cee61c,text/plain,ASCII text,,False,True,False,False,False,False,True,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/LICENSE.txt,,,,,,,,,,,,,,,,,,,,,,,,,,mit,100.00,MIT License,MIT License,Permissive,False,MIT,http://opensource.org/licenses/mit-license.php,http://opensource.org/licenses/mit-license.php,https://enterprise.dejacode.com/urn/urn:dje:license:mit,MIT,https://spdx.org/licenses/MIT,mit.LICENSE,mit,[u'mit'],True,False,False,False,2-aho,163,163,100.00,100.00,,3,19,,
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/LICENSE.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Copyright (c) 2018 Charlie Poole, Rob Prouse",1,1,,
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/LICENSE.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,"Charlie Poole, Rob Prouse",
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/NOTICES.txt,file,NOTICES.txt,NOTICES,.txt,228,2018-03-13,7c5e6196b0895152e7e8e004286a48e13bfa3c2c,09d69d1923f187a77e8c1a4a47b91982,text/plain,ASCII text,,False,True,False,False,False,False,True,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/NOTICES.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Copyright (c) 2002-2014 Charlie Poole,3,3,,
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/NOTICES.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Copyright (c) 2002-2004 James W. Newkirk, Michael C. Two, Alexei A. Vorontsov",3,3,,
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/NOTICES.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Copyright (c) 2000-2002 Philip A. Craig,3,3,,
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/NOTICES.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,Charlie Poole,
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/NOTICES.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,"James W. Newkirk, Michael C. Two, Alexei A. Vorontsov",
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/NOTICES.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,Philip A. Craig,
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/NuGet.config,file,NuGet.config,NuGet,.config,353,2018-03-13,e3db5300a60a9decb1258948287f0eed1195a622,de7e391d12b981b32b973f170ab8e5fd,application/xml,XML document text,,False,True,False,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/nunit.sln,file,nunit.sln,nunit,.sln,6580,2018-03-13,48638c21e79f804fbabdfc12ff3fec937e5567bd,f83b5e14944520f7b397c60131d4c322,text/plain,"UTF-8 Unicode (with BOM) text, with CRLF line terminators",,False,True,False,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/NUnit.sln.DotSettings,file,NUnit.sln.DotSettings,NUnit.sln,.DotSettings,18218,2018-03-13,3a17958561967bd4b0de4b45fa4aae4e6597f7a4,0fc97bda688a85fdebf2bcf4138f76ed,text/plain,UTF-8 Unicode (with BOM) text,,False,True,False,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/NUnit.sln.DotSettings,,,,,,,,,,,,,,,,,,,,,,,,,,mit,90.56,MIT License,MIT License,Permissive,False,MIT,http://opensource.org/licenses/mit-license.php,http://opensource.org/licenses/mit-license.php,https://enterprise.dejacode.com/urn/urn:dje:license:mit,MIT,https://spdx.org/licenses/MIT,mit.LICENSE,mit,[u'mit'],True,False,False,False,2-aho,163,163,100.00,100.00,,17,34,,
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/NUnit.sln.DotSettings,,,,,,,,,,,,,,,,,,,,,,,,,,mit,90.56,MIT License,MIT License,Permissive,False,MIT,http://opensource.org/licenses/mit-license.php,http://opensource.org/licenses/mit-license.php,https://enterprise.dejacode.com/urn/urn:dje:license:mit,MIT,https://spdx.org/licenses/MIT,mit.LICENSE,mit,[u'mit'],True,False,False,False,2-aho,163,163,100.00,100.00,,52,69,,
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/NUnit.sln.DotSettings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Copyright (c) $YEAR$ Charlie Poole,47,47,,
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/NUnit.sln.DotSettings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,47,$YEAR$ Charlie Poole,
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/README.md,file,README.md,README,.md,5884,2018-03-13,9c7979bcd8c9d588f7e356be7ad945a8ac6528f3,00c9c316094a2f29c545c2bd62dd9f72,text/plain,"UTF-8 Unicode text, with very long lines",Objective-C,False,True,False,False,False,False,False,False,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/README.md,,,,,,,,,,,,,,,,,,,,,,,,,,mit,35.00,MIT License,MIT License,Permissive,False,MIT,http://opensource.org/licenses/mit-license.php,http://opensource.org/licenses/mit-license.php,https://enterprise.dejacode.com/urn/urn:dje:license:mit,MIT,https://spdx.org/licenses/MIT,mit_25.RULE,mit,[u'mit'],False,False,True,False,2-aho,6,6,100.00,35.00,,47,47,,
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/README.md,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,35,,"Charlie Poole (https://github.com/CharliePoole), Rob Prouse (https://github.com/rprouse), Simone Busoli (https://github.com/simoneb), Neil Colvin (https://github.com/oznetmaster) and numerous community contributors."
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/README.md,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,37,,"Charlie Poole, James W. Newkirk, Alexei A. Vorontsov, Michael C. Two and Philip A. Craig."
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/.vscode/,directory,.vscode,.vscode,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,2,0,1645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/.vscode/launch.json,file,launch.json,launch,.json,1280,2018-03-13,f54910ed981198033b44a40f21a62b23c84c6484,daa1163168b71cc18701a5e981a4f2e5,text/plain,ASCII text,,False,True,False,False,False,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/.vscode/tasks.json,file,tasks.json,tasks,.json,365,2018-03-13,36495f53951891f927b66bfb5bf35fe28223e37e,cfbb70450a60be03279519cb1b98c253,text/plain,ASCII text,,False,True,False,False,False,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/nuget/,directory,nuget,nuget,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,6,2,12296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/nuget/framework/,directory,framework,framework,,0,,,,,,,False,False,False,False,False,False,False,False,False,False,2,0,3974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/nuget/framework/nunit.nuspec,file,nunit.nuspec,nunit,.nuspec,3812,2018-03-13,54baf02c9160685b879846c0ff9f3e40974c8aa7,daa54fba5216bfc1351af39ecee49b88,application/xml,XML document text,,False,True,False,False,False,False,False,True,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/nuget/framework/nunit.nuspec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Copyright (c) 2018 Charlie Poole, Rob Prouse",22,22,,
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/nuget/framework/nunit.nuspec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,22,"Charlie Poole, Rob Prouse",
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/nuget/framework/NUnit.props,file,NUnit.props,NUnit,.props,162,2018-03-13,27786263a7324041bf4223a034a11dc7a96c1360,980dc69655543111f34d4b6694e9b94d,text/plain,ASCII text,,False,True,False,False,False,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/nuget/nunitlite/,directory,nunitlite,nunitlite,,0,,,,,,,False,False,False,False,False,False,False,False,False,False,4,0,8322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/nuget/nunitlite/install.ps1,file,install.ps1,install,.ps1,228,2018-03-13,893ed719c93e66d43f7a4ecde80e04e4e41ac8ad,93ccc503ecbd4179fed44f407636f2a4,text/plain,ASCII text,PowerShell,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/nuget/nunitlite/nunitlite.nuspec,file,nunitlite.nuspec,nunitlite,.nuspec,4618,2018-03-13,a22b2461cbe3a9e12e2e4fb0578a43e3e965c60f,09937d0336e985a92cae184380b423ab,application/xml,XML document text,,False,True,False,False,False,False,False,True,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/nuget/nunitlite/nunitlite.nuspec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Copyright (c) 2018 Charlie Poole, Rob Prouse",28,28,,
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/nuget/nunitlite/nunitlite.nuspec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,28,"Charlie Poole, Rob Prouse",
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/nuget/nunitlite/Program.cs,file,Program.cs,Program,.cs,1787,2018-03-13,a3427a6f8c0ace497b0f1611fef9471169e21405,22b91f54babb258ccbe1e7d4d2244114,text/plain,ASCII text,C#,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/nuget/nunitlite/Program.cs,,,,,,,,,,,,,,,,,,,,,,,,,,mit,100.00,MIT License,MIT License,Permissive,False,MIT,http://opensource.org/licenses/mit-license.php,http://opensource.org/licenses/mit-license.php,https://enterprise.dejacode.com/urn/urn:dje:license:mit,MIT,https://spdx.org/licenses/MIT,mit.LICENSE,mit,[u'mit'],True,False,False,False,2-aho,163,163,100.00,100.00,,4,21,,
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/nuget/nunitlite/Program.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Copyright (c) 2015 Charlie Poole, Rob Prouse",2,2,,
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/nuget/nunitlite/Program.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,"Charlie Poole, Rob Prouse",
