download_url,type,namespace,name,version,qualifier,filename,provider,score,has_declared_license_in_key_files,file_level_license_and_copyright_coverage,has_consistent_key_and_file_level_licenses,is_using_only_spdx_licenses,has_full_text_for_all_licenses,scan_results_file
https://rubygems.org/gems/ffi-1.9.25.gem,gem,,ffi,1.9.25,,ffi-1.9.25.gem,rubygems,9,False,0.39,False,False,False,/home/pombreda/cd/scans/gem/ffi-1.9.25.gem-clarity.json
https://rubygems.org/gems/google-protobuf-3.6.1.gem,gem,,google-protobuf,3.6.1,,google-protobuf-3.6.1.gem,rubygems,9,False,0.38,False,False,False,/home/pombreda/cd/scans/gem/google-protobuf-3.6.1.gem-clarity.json
