"download_url","type","namespace","name","version","qualifier","provider","has_all_spdx_licenses","has_consistent_key_and_file_level_license","has_all_license_texts","score","has_top_level_declared_licenses","file_level_license_and_copyright_coverage","Errors"
"https://files.pythonhosted.org/packages/f2/42/58da38075e4d1f2838de55619b669855ab52b6020763f6ea9a4102289105/yapf-0.24.0.tar.gz","pypi",,"yapf","0.24.0",,"pypi","True","True","True","92","True","0.6805555555555556",
"https://registry.npmjs.org/source-map/-/source-map-0.7.3.tgz","npm",,"source-map","0.7.3",,"npmjs","True","True","True","92","True","0.6875",
"https://files.pythonhosted.org/packages/22/f0/a062f4d877420e765f451af99045326e44f9b026088d621ca40011f14c66/google-cloud-core-0.28.1.tar.gz","pypi",,"google-cloud-core","0.28.1",,"pypi","True","True","True","91","True","0.6551724137931034",
"https://files.pythonhosted.org/packages/7e/cd/dae5c39974b040741215ed346263152c93af21a22dc124c7ad451fbee417/google-auth-1.5.1.tar.gz","pypi",,"google-auth","1.5.1",,"pypi","True","True","True","91","True","0.6790123456790124",
"https://files.pythonhosted.org/packages/00/51/f3afa784d73d1f35dce99f6138eaa779e2098a8dde4e7085ecf6295254bb/google-cloud-storage-1.13.0.tar.gz","pypi",,"google-cloud-storage","1.13.0",,"pypi","True","True","True","91","True","0.6486486486486487",
"https://files.pythonhosted.org/packages/94/39/a85b2281c2e523a45a1b50639b2b926e86a05581a3e16112c29c159c51cc/google-cloud-logging-1.8.0.tar.gz","pypi",,"google-cloud-logging","1.8.0",,"pypi","True","True","True","91","True","0.6710526315789473",
"https://files.pythonhosted.org/packages/cc/74/11b04703ec416717b247d789103277269d567db575d2fd88f25d9767fe3d/pyserial-3.4.tar.gz","pypi",,"pyserial","3.4",,"pypi","True","True","True","91","True","0.6666666666666666",
"https://files.pythonhosted.org/packages/84/be/94ecbc3f2487bd14aa8b44852f498086219b7cc0c8250ee65a03e2c63119/fixtures-3.0.0.tar.gz","pypi",,"fixtures","3.0.0",,"pypi","True","True","True","91","True","0.6724137931034483",
"https://files.pythonhosted.org/packages/9d/a7/1b39a16cb90dfe491f57e1cab3103a15d4e8dd9a150872744f531b1106c1/ipaddr-2.2.0.tar.gz","pypi",,"ipaddr","2.2.0",,"pypi","True","True","True","91","True","0.6666666666666666",
"https://registry.npmjs.org/pg/-/pg-7.5.0.tgz","npm",,"pg","7.5.0",,"npmjs","True","True","True","91","True","0.6470588235294118",
"https://registry.npmjs.org/window-size/-/window-size-1.1.1.tgz","npm",,"window-size","1.1.1",,"npmjs","True","True","True","91","True","0.6666666666666666",
"https://files.pythonhosted.org/packages/c8/7e/ebfb88a31fa8d90080d5ae87c8eacf004980f3cb258abbaead8796294db3/google-resumable-media-0.3.1.tar.gz","pypi",,"google-resumable-media","0.3.1",,"pypi","True","True","True","90","True","0.6097560975609756",
"https://files.pythonhosted.org/packages/be/74/feb26e75219b36ed91bfe6d096643adeb9e6d88a496a5a4f37ad03878192/google-cloud-runtimeconfig-0.28.1.tar.gz","pypi",,"google-cloud-runtimeconfig","0.28.1",,"pypi","True","True","True","90","True","0.6086956521739131",
"https://registry.npmjs.org/events/-/events-3.0.0.tgz","npm",,"events","3.0.0",,"npmjs","True","True","True","90","True","0.6153846153846154",
"https://registry.npmjs.org/hoist-non-react-statics/-/hoist-non-react-statics-3.0.1.tgz","npm",,"hoist-non-react-statics","3.0.1",,"npmjs","True","True","True","90","True","0.6",
"https://rubygems.org/gems/ffi-1.9.25.gem","gem",,"ffi","1.9.25",,"rubygems","False","False","False","9","False","0.39517625231910947",
"https://rubygems.org/gems/google-protobuf-3.6.1.gem","gem",,"google-protobuf","3.6.1",,"rubygems","False","False","False","9","False","0.38235294117647056",
"https://files.pythonhosted.org/packages/b1/80/fb8c13a4cd38eb5021dc3741a9e588e4d1de88d895c1910c6fc8a08b7a70/isodate-0.6.0.tar.gz","pypi",,"isodate","0.6.0",,"pypi","True","True","True","89","True","0.5769230769230769",
"https://files.pythonhosted.org/packages/fd/c2/98290b77dd5625720effeb6b3cf3930a7a8b757fddd6ef09cb2a1df4742c/google-cloud-datastore-1.7.0.tar.gz","pypi",,"google-cloud-datastore","1.7.0",,"pypi","True","True","True","89","True","0.5925925925925926",
"https://files.pythonhosted.org/packages/bb/b8/5f4c26c8fdfb6abdceeeb2c16d919d9e96d8264609b7ccf47a774064f475/google-cloud-bigtable-0.31.0.tar.gz","pypi",,"google-cloud-bigtable","0.31.0",,"pypi","True","True","True","89","True","0.5625",
"https://files.pythonhosted.org/packages/8b/58/b3a9b1e7d2cb029d6e4d7996eeb1ad4d03c867491c915e675e32e6a49ea9/google-cloud-dns-0.29.0.tar.gz","pypi",,"google-cloud-dns","0.29.0",,"pypi","True","True","True","89","True","0.5833333333333334",
"https://files.pythonhosted.org/packages/a5/d1/5ca5d6b8647030e51d4b39d115976c4c4cc8d28293dfaa06c43268cf7c87/msrestazure-0.5.0.tar.gz","pypi",,"msrestazure","0.5.0",,"pypi","True","True","True","89","True","0.5882352941176471",
"https://files.pythonhosted.org/packages/17/1c/ae6eb5f76ddc77f7d56dcb9bc24df1e8d41c32d13987e69ee133e71c6531/google-compute-engine-2.8.3.tar.gz","pypi",,"google-compute-engine","2.8.3",,"pypi","True","True","True","89","True","0.5625",
